Element,FieldName,ConditionValue,Property,SI Unit Name,SI Unit Abbr,SI Decimals,US Unit Name,US Unit Abbr,US Decimals
Pipes,Id,,Identifier,Text,,,Text,,
Pipes,Length,,Length,Meters,m,2,Feet,ft,2
Pipes,Diameter,,Diameter,Millimeters,mm,1,Inches,in,2
Pipes,RoughCoeff,D-W,Roughness,Millimeters,mm,4,Millifeet,mft,6
Pipes,LossCoeff,,Loss Coefficient,Unitless,,2,Unitless,,2
Pipes,Material,,Material,Text,,,Text,,
Pipes,InstalDate,,Installation Date,Year as Text,,,Year as Text,,
Pipes,Age,,Age,Years,yr,1,Years,yr,1
Pipes,LeakArea,,Leak Area,sq mm per 100 m,mm2/100,2,sq mm per 100 m,mm2/100,2
Pipes,LeakExpRat,,Leak Expansion Rate,sq mm per unit press,mm2/Same as Pressure,2,sq mm per unit press,mm2/Same as Pressure,2
Pipes,IniStatus,,Initial Status,Text,,,Text,,
Pipes,BulkCoeff,1,Bulk Coefficient,Per day,1/day,2,Per day,1/day,2
Pipes,WallCoeff,0,Wall Coefficient,mass/L/day,Same as Mass/L/day,3,Mass/L/day,Same as Mass/L/day,3
Pipes,WallCoeff,1,Wall Coefficient,Per day,1/day,2,Per day,1/day,2
Pipes,Tag,,Tag,Text,,,Text,,
Pipes,Descrip,,Description,Text,,,Text,,
Valves,Id,,Identifier,Text,,,Text,,
Valves,Diameter,,Diameter,Millimeters,mm,1,Inches,in,2
Valves,Type,,Type,Text,,,Text,,
Valves,Setting,PRV,Setting,Same as Pressure,Same as Pressure,,Same as Pressure,Same as Pressure,
Valves,Setting,PSV,Setting,Same as Pressure,Same as Pressure,,Same as Pressure,Same as Pressure,
Valves,Setting,PBV,Setting,Same as Pressure,Same as Pressure,,Same as Pressure,Same as Pressure,
Valves,Setting,FCV,Setting,Same as Flow,Same as Flow,,Same as Flow,Same as Flow,
Valves,Setting,TCV,Setting,Unitless,,2,Unitless,,2
Valves,Setting,GPV,Setting,Text,,,Text,,
Valves,Setting,PCV,Setting,Text,,,Text,,
Valves,IdHeadLoss,,HeadLoss Curve,Text,,,Text,,
Valves,LossCoeff,,Loss Coefficient,Unitless,,2,Unitless,,2
Valves,IniStatus,,Initial Status,Text,,,Text,,
Valves,Tag,,Tag,Text,,,Text,,
Valves,Descrip,,Description,Text,,,Text,,
Pumps,Id,,Identifier,Text,,,Text,,
Pumps,IdHFCurve,,Head Curve,Text,,,Text,,
Pumps,Power,,Power,Kilowatts,kW,2,Horse Power,HP,2
Pumps,Speed,,Speed,Unitless,,2,Unitless,,2
Pumps,IdSpeedPat,,Speed Pattern,Text,,,Text,,
Pumps,IniStatus,,Initial Status,Text,,,Text,,
Pumps,IdEffiCur,,Efficiency Curve,Text,,,Text,,
Pumps,EnergyPric,,Energy Price,Currency /kWh,Same as Currency/kWh,2,Currency /kWh,Same as Currency/kWh,2
Pumps,IdPricePat,,Price Pattern,Text,,,Text,,
Pumps,Tag,,Tag,Text,,,Text,,
